全局章序,卷,卷内章号_文本,章名,正文区间字符数_含章末附注,起始位置,结束位置
516,旅行家,34,“倒吊人”的猜测,3262,1959537,1963238
517,旅行家,35,慷慨之城,3137,1963238,1966834
518,旅行家,36,人之将死,3186,1966834,1970528
519,旅行家,37,命名,3079,1970528,1974112
520,旅行家,38,血之上将,3365,1974112,1977912
521,旅行家,39,大胆假设（周一求推荐票月票）,3136,1977912,1981655
522,旅行家,40,殖民地（周一求月票推荐票）,3249,1981655,1985335
523,旅行家,41,协作,3054,1985335,1988924
524,旅行家,42,见面,3216,1988924,1992723
525,旅行家,43,冷静的斯考尔,3044,1992723,1996198
526,旅行家,44,永恒之梦,3289,1996198,1999946
527,旅行家,45,速战,3105,1999946,2003538
528,旅行家,46,放牧,3189,2003538,2007238
529,旅行家,47,默契,3090,2007238,2010767
530,旅行家,48,文献资料,3089,2010767,2014285
531,旅行家,49,演技派,3311,2014285,2018108
532,旅行家,50,“洋”大人,3145,2018108,2021760
533,旅行家,51,4200镑先生,3165,2021760,2025453
534,旅行家,52,梦中课堂,3210,2025453,2029320
535,旅行家,53,善为人师（周一求推荐票和月票）,3059,2029320,2032969
536,旅行家,54,本地信仰（周一求月票推荐票）,3121,2032969,2036613
537,旅行家,55,灵感太高,3105,2036613,2040309
538,旅行家,56,驱散,3202,2040309,2044028
539,旅行家,57,深夜的行动,3178,2044028,2047738
540,旅行家,58,压制,3241,2047738,2051532
541,旅行家,59,访客,3144,2051532,2055061
542,旅行家,60,戒严的拜亚姆,3172,2055061,2058771
543,旅行家,61,出乎意料的事实,4295,2058771,2063653
544,旅行家,62,专家级,3324,2063653,2067471
545,旅行家,63,狂怒的卡维图瓦,3292,2067471,2071315
546,旅行家,64,灵界,3302,2071315,2075176
547,旅行家,65,祭司（周一求推荐票）,3113,2075176,2078766
548,旅行家,66,对付巨型生物的技巧（周一求推荐票）,3478,2078766,2082788
549,旅行家,67,上位精灵,3123,2082788,2086304
550,旅行家,68,封印物的负面效果,3119,2086304,2089862
551,旅行家,69,十诫,3114,2089862,2093451
552,旅行家,70,大手笔,3216,2093451,2097262
553,旅行家,71,达尼兹的努力,3077,2097262,2100896
554,旅行家,72,扮神,3108,2100896,2104431
555,旅行家,73,深夜来“电”,3082,2104431,2108094
556,旅行家,74,区别待遇,3178,2108094,2111755
557,旅行家,75,自我暗示（求月票）,3501,2111755,2115834
558,旅行家,76,寻找异常（求月票）,3199,2115834,2119605
559,旅行家,77,路遇（求月票）,3187,2119605,2123224
560,旅行家,78,被薅羊毛的“倒吊人”（求月票）,3212,2123224,2126930
561,旅行家,79,“招聘会”（求推荐票月票）,3462,2126930,2131028
562,旅行家,80,伊莲（求月票推荐票）,3116,2131028,2134656
563,旅行家,81,愚者的“眷顾”（第一更求月票）,4184,2134656,2139423
564,旅行家,82,知识逐人（第二更求月票）,3271,2139423,2143269
565,旅行家,83,窥秘之眼（第三更感谢）,4318,2143269,2148164
566,旅行家,84,衣物细节（求月票）,3091,2148164,2151671
567,旅行家,85,事情的源头（求月票）,3102,2151671,2155232
568,旅行家,86,附属“神灵”们（求月票）,3402,2155232,2159089
569,旅行家,87,见微知著（求月票）,3188,2159089,2162693
570,旅行家,88,不承认不否认（求月票）,3156,2162693,2166237
571,旅行家,89,压力很大（求月票）,3158,2166237,2169907
572,旅行家,90,诵念我的名（求月票）,3082,2169907,2173477
573,旅行家,91,现实教做人（求月票）,3486,2173477,2177578
574,旅行家,92,未遂（求月票）,3173,2177578,2181417
575,旅行家,93,黄金梦想号,4230,2181417,2186260
576,旅行家,94,“冰山中将”的收藏室,3401,2186260,2190156
577,旅行家,95,三千多年前的书籍,3054,2190156,2193745
578,旅行家,96,“劫持”,2847,2193745,2197105
579,旅行家,97,学术问题,3092,2197105,2200758
580,旅行家,98,巧言者,3438,2200758,2204792
581,旅行家,99,既融合又抽离,3111,2204792,2208418
582,旅行家,100,“挑衅”,3198,2208418,2212224
583,旅行家,101,后手,3120,2212224,2215796
584,旅行家,102,锅,3175,2215796,2219434
585,旅行家,103,买药,3079,2219434,2223007
586,旅行家,104,告别与再会,3442,2223007,2227090
587,旅行家,105,扑朔迷离,3263,2227090,2230825
588,旅行家,106,旧相识（周一求推荐票月票）,3247,2230825,2234613
589,旅行家,107,“挑拨”（求月票推荐票）,3122,2234613,2238317
590,旅行家,108,阿罗德斯的下限,3035,2238317,2241791
591,旅行家,109,善用物品,3075,2241791,2245284
592,旅行家,110,一周三晋升,3384,2245284,2249135
593,旅行家,111,办法,3253,2249135,2252799
594,旅行家,112,“世界”的委托,3136,2252799,2256387
595,旅行家,113,领域,3186,2256387,2259972
596,旅行家,114,线索,3374,2259972,2263829
597,旅行家,115,克莱恩的方案,3148,2263829,2267482
598,旅行家,116,天降横财,3087,2267482,2271162
599,旅行家,117,龙威,2685,2271162,2274270
600,旅行家,118,清场,3104,2274270,2277851
601,旅行家,119,自己吓自己,3461,2277851,2281822
602,旅行家,120,声名鹊起,5089,2281822,2287638
603,旅行家,121,条件,3161,2287638,2291366
604,旅行家,122,不一样的敌人,3165,2291366,2295126
605,旅行家,123,“判定”,3076,2295126,2298741
606,旅行家,124,恐吓,3790,2298741,2303218
607,旅行家,125,发现异常,3342,2303218,2307045
608,旅行家,126,专业,3050,2307045,2310591
609,旅行家,127,上门拜访,3150,2310591,2314214
610,旅行家,128,掷骰（周一求推荐票月票）,3206,2314214,2317925
611,旅行家,129,命运议员（求月票推荐票）,3219,2317925,2321751
612,旅行家,130,到手（求月票）,3298,2321751,2325590
613,旅行家,131,伦纳德的调查（求月票）,3402,2325590,2329568
614,旅行家,132,冒险家互助会,2714,2329568,2332817
615,旅行家,133,灰白的雾气（求月票）,3090,2332817,2336314
616,旅行家,134,坏事也有好的一面（求月票）,3161,2336314,2339879
617,旅行家,135,神秘的亚当（求月票）,4505,2339879,2344952
618,旅行家,136,义工（求保底月票）,3147,2344952,2348631
619,旅行家,137,开不了口（求保底月票）,3166,2348631,2352403
620,旅行家,138,替身任务,3093,2352403,2356023
621,旅行家,139,总督府晚宴,3425,2356023,2360072
622,旅行家,140,临时契约（祝大家除夕快乐）,3070,2360072,2363665
623,旅行家,141,第一夜（大家新年快乐）,3330,2363665,2367475
624,旅行家,142,警告,3106,2367475,2371052
625,旅行家,143,顺利的第一天,3025,2371052,2374480
626,旅行家,144,“艾弥留斯”的决断,3116,2374480,2378128
627,旅行家,145,夜深,3104,2378128,2381757
628,旅行家,146,禁止,2568,2381757,2384700
629,旅行家,147,天体教派,3250,2384700,2388351
630,旅行家,148,时间点,3426,2388351,2392315
631,旅行家,149,三天不见,3075,2392315,2395911
632,旅行家,150,收尾,3253,2395911,2399754
633,旅行家,151,两种寄生态,3246,2399754,2403492
634,旅行家,152,白色之城,3333,2403492,2407322
635,旅行家,153,见面,3167,2407322,2410990
636,旅行家,154,“屠杀者”,3116,2410990,2414562
637,旅行家,155,未来号,3034,2414562,2417990
638,旅行家,156,毒素专家,3137,2417990,2421606
639,旅行家,157,名单,3078,2421606,2425215
640,旅行家,158,女海盗,3133,2425215,2428826
641,旅行家,159,人类无法通过的井口（周一求推荐票月票）,3206,2428826,2432538
642,旅行家,160,一举三得（求月票推荐票）,3272,2432538,2436236
643,旅行家,161,克莱恩版“魔镜占卜”,3091,2436236,2439788
644,旅行家,162,笑声,3296,2439788,2443567
645,旅行家,163,平静的办法,3168,2443567,2447257
646,旅行家,164,莱曼诺的魔法书,4299,2447257,2452211
647,旅行家,165,废墟之海,3091,2452211,2455781
648,旅行家,166,正午与夜晚,3177,2455781,2459474
649,旅行家,167,黑色修道院,3290,2459474,2463346
650,旅行家,168,倒霉的安德森,3304,2463346,2467287
651,旅行家,169,再遇,3039,2467287,2470845
652,旅行家,170,美人鱼的线索,3337,2470845,2474722
653,旅行家,171,脸黑手黑,3185,2474722,2478506
654,旅行家,172,囚犯与看守（周一求推荐票月票）,3554,2478506,2482670
655,旅行家,173,梦境分析（求月票推荐票）,3085,2482670,2486242
656,旅行家,174,疯狂的异变（求月票）,3355,2486242,2490238
657,旅行家,175,恐怖的生命力（求月票）,3059,2490238,2493759
658,旅行家,176,五万五千镑（求月票）,3128,2493759,2497348
659,旅行家,177,这个非凡能力很强（求月票）,3176,2497348,2500952
660,旅行家,178,面具之后（感谢白银盟“宇宙的共主”同学）,3088,2500952,2504595
661,旅行家,179,临近（求月票）,4390,2504595,2509692
662,旅行家,180,强大的气场（求保底月票）,3165,2509692,2513397
663,旅行家,181,虚惊（求保底月票）,3292,2513397,2517113
664,旅行家,182,争分夺秒（求月票）,3579,2517113,2521266
665,旅行家,183,灵体之线（求月票）,3135,2521266,2524801
666,旅行家,184,下午镇,2990,2524801,2528227
667,旅行家,185,祷文,3233,2528227,2531997
668,旅行家,186,自信也许是缺点（求推荐票月票）,3847,2531997,2536343
669,旅行家,187,交换情报（求月票推荐票）,3149,2536343,2539967
670,旅行家,188,忏悔者（第一更求月票）,3116,2539967,2543659
671,旅行家,189,第四个名字（第二更求月票）,3051,2543659,2547300
672,旅行家,190,旁观（2万月票加更）,3181,2547300,2550953
673,旅行家,191,血字,3313,2550953,2554731
674,旅行家,192,离船,3190,2554731,2558446
675,旅行家,193,联络感情,3122,2558446,2562107
676,旅行家,194,三方交易,3179,2562107,2565723
677,旅行家,195,猛虎落地式,3235,2565723,2569444
678,旅行家,196,敲打,3359,2569444,2573172
679,旅行家,197,杀人请求,3471,2573172,2577104
680,旅行家,198,新的思路,3118,2577104,2580701
681,旅行家,199,侧面回答,3124,2580701,2584286
682,旅行家,200,觅“食”,3488,2584286,2588316
683,旅行家,201,原来你也在这里（周一求推荐票月票）,3231,2588316,2592104
684,旅行家,202,遭遇战（周一求月票推荐票~）,3097,2592104,2595683
685,旅行家,203,从延迟到掉线,3150,2595683,2599265
686,旅行家,204,难以完成的仪式,3331,2599265,2603179
687,旅行家,205,呓语者（4万月票加更！）,3304,2603179,2606969
688,旅行家,206,没等到,3183,2606969,2610635
689,旅行家,207,这就好了？,3088,2610635,2614256
690,旅行家,208,信使小姐,3224,2614256,2618036
691,旅行家,209,碰面,3105,2618036,2621683
692,旅行家,210,嫌疑犯,3128,2621683,2625270
693,旅行家,211,尝试,3053,2625270,2628794
694,旅行家,212,念后即焚（感谢古逸川同学白银盟）,3241,2628794,2632598
695,旅行家,213,鲜明对比,3228,2632598,2636347
696,旅行家,214,巨人守护者,3291,2636347,2640292
697,旅行家,215,故事的进度,3219,2640292,2643943
698,旅行家,216,第五位天使之王（求月票推荐票）,3304,2643943,2647815
699,旅行家,217,BOSS战,2936,2647815,2651213
700,旅行家,218,默契,3338,2651213,2655074
701,旅行家,219,巨人永不退缩,3164,2655074,2658725
702,旅行家,220,故事尾声,3262,2658725,2662519
703,旅行家,221,谢礼,3110,2662519,2666106
704,旅行家,222,来历,3045,2666106,2669586
705,旅行家,223,神话生物,3120,2669586,2673167
706,旅行家,224,那个男人（6万月票加更）,3179,2673167,2676935
707,旅行家,225,达尼兹的请求,3264,2676935,2680698
708,旅行家,226,价值9000镑的左轮,3136,2680698,2684253
709,旅行家,227,艾尔兰的提醒,3035,2684253,2687739
710,旅行家,228,方案,2630,2687739,2690702
711,旅行家,229,风暴来袭,3393,2690702,2694532
712,旅行家,230,忠心耿耿阿尔杰,3126,2694532,2698103
713,旅行家,230,三个问题（周一求推荐票月票）,3226,2698103,2701781
714,旅行家,232,新的日记（周一求月票推荐票）,3139,2701781,2705313
715,旅行家,233,晚年疯狂,3136,2705313,2708850
716,旅行家,234,岛屿与遗迹,3625,2708850,2712973
717,旅行家,235,“世界”与侠盗,3637,2712973,2717086
718,旅行家,236,书中的角色,3088,2717086,2720654
719,旅行家,237,梦境之旅,3055,2720654,2724140
720,旅行家,238,哲学家,3149,2724140,2727683
721,旅行家,239,克莱恩的引导（8万月票加更）,3363,2727683,2731583
722,旅行家,240,不平静的夜晚,3274,2731583,2735439
723,旅行家,241,今天又做了件好事,3140,2735439,2739050
724,旅行家,242,提醒的真正含义（最后两天求月票）,3111,2739050,2742562
725,旅行家,243,清晨,2590,2742562,2745611
726,旅行家,244,准备很重要,3147,2745611,2749226
727,旅行家,245,幸运儿（求月票）,3163,2749226,2752824
728,旅行家,246,素质三连（感谢大家）,3866,2752824,2757226
729,旅行家,247,乱（求保底月票）,3124,2757226,2760785
730,旅行家,248,处理隐患（第一更感谢白银盟开心日子）,3101,2760785,2764307
731,旅行家,249,收获（第二更感谢白银盟维凯尔）,3122,2764307,2767817
732,旅行家,250,终点（第三更感谢海豹感谢大家）,5207,2767817,2773818
733,不死者,1,归来记,3097,2773818,2777239
734,不死者,2,老朋友们,3156,2777239,2780936
735,不死者,3,再探,3244,2780936,2784731
736,不死者,4,三张椅子,3143,2784731,2788385
737,不死者,5,正式登场（周一求推荐票求月票）,3235,2788385,2792160
738,不死者,6,富翁的日常（周一求月票推荐票）,2642,2792160,2795258
739,不死者,7,遇上的和未遇上的,3153,2795258,2798914
740,不死者,8,自荐,3109,2798914,2802574
741,不死者,9,管家,3344,2802574,2806361
742,不死者,10,敲定,3096,2806361,2809960
743,不死者,11,一页日记,3078,2809960,2813418
744,不死者,12,卖出,3320,2813418,2817170
745,不死者,13,知识等于金钱,3088,2817170,2820760
746,不死者,14,同样的夜晚,3096,2820760,2824387
747,不死者,15,首杀（感谢白银盟杀手钟馗大号）,3229,2824387,2828223
748,不死者,16,一唱一和,3210,2828223,2831855
749,不死者,17,“月亮”权柄,3194,2831855,2835449
750,不死者,18,吸引？,3166,2835449,2839132
751,不死者,19,鲁恩式含蓄（周一求推荐票月票）,3363,2839132,2843144
752,不死者,20,警告,3226,2843144,2846916
753,不死者,21,主教拜访,3124,2846916,2850493
754,不死者,22,邀请,3187,2850493,2854113
755,不死者,23,“接线员”,3064,2854113,2857565
756,不死者,24,大弥撒,3194,2857565,2861325
757,不死者,25,梦遇,3123,2861325,2864899
758,不死者,26,付出总有回报,3535,2864899,2869195
759,不死者,27,第一支舞,3188,2869195,2872836
760,不死者,28,圈子真小,3150,2872836,2876421
761,不死者,29,好人好事,3180,2876421,2880120
762,不死者,30,复国会,3111,2880120,2883706
763,不死者,31,X先生,3109,2883706,2887357
764,不死者,32,初次审查（周一求推荐票月票）,3239,2887357,2891167
765,不死者,33,又是周一（求月票推荐票）,3144,2891167,2894774
766,不死者,34,诸神的“锚”,3140,2894774,2898285
767,不死者,35,转达,3076,2898285,2901812
768,不死者,36,聪明人的“对话”,3089,2901812,2905298
769,不死者,37,献祭自己,3109,2905298,2908974
770,不死者,38,小孩就要有小孩的样子,3074,2908974,2912525
771,不死者,39,窃运者,3131,2912525,2915982
772,不死者,40,瓦尔特的异常,3107,2915982,2919427
773,不死者,41,额外的展开,3083,2919427,2923072
774,不死者,42,线索,2878,2923072,2926363
775,不死者,43,利用（求月票）,3162,2926363,2930005
776,不死者,44,事前的准备（求月票）,3119,2930005,2933565
777,不死者,45,丧心病狂的配置（求月票推荐票）,3109,2933565,2937108
778,不死者,46,一加一大于二,3118,2937108,2940663
779,不死者,47,一枪,3329,2940663,2944521
780,不死者,48,抽取（求月票）,3899,2944521,2948995
781,不死者,49,负面效果（求保底月票）,3201,2948995,2952698
782,不死者,50,周六晚上（感谢白银盟Y先生cc兼求保底月票）,3106,2952698,2956220
783,不死者,51,沟通的技巧（求保底月票）,3330,2956220,2960035
784,不死者,52,风评被害（求月票）,3135,2960035,2963616
785,不死者,53,特莉丝的发现（求月票）,3085,2963616,2967299
786,不死者,54,报假账（求月票）,3162,2967299,2970984
787,不死者,55,多里安的告诫（求月票）,3152,2970984,2974704
788,不死者,56,隐秘通道（求月票）,3369,2974704,2978524
789,不死者,57,各自的周一（求推荐票月票）,3076,2978524,2982098
790,不死者,58,日记的尾声（周一求推荐票月票）,3129,2982098,2985697
791,不死者,59,新模式（双倍最后一天求月票）,3239,2985697,2989315
792,不死者,60,“愚者”的“权柄”（双倍最后一天求月票）,3325,2989315,2993114
793,不死者,61,意外的来访者（提前更新给大家争取返回）,3800,2993114,2997376
794,不死者,64,短期投资,3276,2997376,3001099
795,不死者,63,耐心（上一章章节序号错了）,3144,3001099,3004729
796,不死者,64,逐渐熟练,3202,3004729,3008420
797,不死者,65,奖励,3167,3008420,3012098
798,不死者,66,故地重游,3094,3012098,3015621
799,不死者,67,窥视,2598,3015621,3018592
800,不死者,68,精神变“好”,2548,3018592,3021449
801,不死者,69,哀求,2852,3021449,3024818
802,不死者,70,后续的办法,2657,3024818,3027796
803,不死者,71,正名（周一求推荐票月票）,3132,3027796,3031371
804,不死者,72,考古队,2712,3031371,3034463
805,不死者,73,会合,3159,3034463,3037965
806,不死者,74,夜半入岛,3115,3037965,3041545
807,不死者,75,不怎么样的运气,3182,3041545,3045217
808,不死者,76,要命的歌声,3046,3045217,3048703
809,不死者,77,黑暗里的危机,3079,3048703,3052177
810,不死者,78,谁的教堂,3366,3052177,3056086
811,不死者,79,墓葬厅的画卷,3070,3056086,3059593
812,不死者,80,另一个角度的神话,3135,3059593,3063118
813,不死者,81,暴君,3192,3063118,3066785
814,不死者,82,不见了,3136,3066785,3070337
815,不死者,83,复盘,3197,3070337,3073925
816,不死者,84,完成交易（周一求推荐票月票）,3151,3073925,3077485
817,不死者,85,客人们（周一求推荐票月票）,3121,3077485,3081140
818,不死者,86,提醒,3094,3081140,3084775
819,不死者,87,馈赠,3324,3084775,3088640
820,不死者,88,两次恍惚,3283,3088640,3092472
821,不死者,89,精神印记,3134,3092472,3095993
822,不死者,90,还有,3250,3095993,3099669
823,不死者,91,成长的塔罗会,3273,3099669,3103457
824,不死者,92,冲击,3264,3103457,3107166
825,不死者,93,预约,3348,3107166,3111061
826,不死者,94,遗忘的念头,3166,3111061,3114639
827,不死者,95,人来人往,3272,3114639,3118448
828,不死者,96,夜的乐章,3713,3118448,3122728
829,不死者,97,六月来临,3366,3122728,3126595
830,不死者,98,潜入（周一求推荐票月票）,3223,3126595,3130297
831,不死者,99,近在咫尺（周一求月票推荐票）,3566,3130297,3134278
832,不死者,100,小镇（上月第一加更）,3083,3134278,3137795
833,不死者,101,需要注意的事情,3443,3137795,3141844
834,不死者,102,好运（感谢白银盟忠仆旺财）,2286,3141844,3144437
835,不死者,103,来来往往的身影,3356,3144437,3148220
836,不死者,104,“投食”,3161,3148220,3151937
837,不死者,105,悬挂者（五月最后两天求月票）,3125,3151937,3155586
838,不死者,106,历史孔隙里的影像（最后一天半求月票）,3270,3155586,3159444
839,不死者,107,古神的后裔（最后一天求月票）,3127,3159444,3163059
840,不死者,108,发挥优势（最后半天求月票）,3123,3163059,3166603
841,不死者,109,互相牵制（提前更新求保底月票）,4490,3166603,3171681
842,不死者,110,门后（求保底月票）,3282,3171681,3175446
843,不死者,111,神奇的蘑菇（求保底月票）,3873,3175446,3179818
844,不死者,112,哪个符号（求保底月票）,3156,3179818,3183472
845,不死者,113,回归,3182,3183472,3187053
846,不死者,114,搜查目标,3090,3187053,3190610
847,不死者,115,卷宗内藏着的那个名字,3211,3190610,3194312
848,不死者,116,殃及池鱼,3093,3194312,3197920
849,不死者,117,诊金,3061,3197920,3201518
850,不死者,118,魔鬼在细节,3411,3201518,3205439
851,不死者,119,道恩.唐泰斯的新生意,3234,3205439,3209320
852,不死者,120,单刀直入,3080,3209320,3212896
853,不死者,121,话术经验的对比,3182,3212896,3216680
854,不死者,122,告解（感谢黄金盟忠仆旺财）,3112,3216680,3220256
855,不死者,123,新访客,3087,3220256,3223869
856,不死者,124,保镖上门,3196,3223869,3227664
857,不死者,125,感慨,3324,3227664,3231591
858,不死者,126,大手笔,3178,3231591,3235251
859,不死者,127,新的蘑菇,3044,3235251,3238762
860,不死者,128,惊马,3029,3238762,3242309
861,不死者,129,佛尔思的梦,3205,3242309,3246036
862,不死者,130,好心提醒,3378,3246036,3250030
863,不死者,131,慈善晚会,3138,3250030,3253647
864,不死者,132,演员与观众,3252,3253647,3257337
865,不死者,133,霍尔伯爵的提议,3098,3257337,3260955
866,不死者,134,故乡,3051,3260955,3264489
867,不死者,135,调查任务,3117,3264489,3268031
868,不死者,136,公共马甲,3148,3268031,3271508
869,不死者,137,检举他！,3141,3271508,3275140
870,不死者,138,直击内心的问题（黄金盟加更）,2715,3275140,3278368
871,不死者,139,理事,2541,3278368,3281422
872,不死者,140,通灵结果,2619,3281422,3284441
873,不死者,141,不着痕迹的沟通,3177,3284441,3288034
874,不死者,142,什么都没说,3028,3288034,3291492
875,不死者,143,木乃伊（感谢忠仆旺财打赏白银盟）,3217,3291492,3295302
876,不死者,144,移祸之术,3108,3295302,3298793
877,不死者,145,谁的陷阱,3077,3298793,3302385
878,不死者,146,阿罗德斯的问题,3104,3302385,3305935
879,不死者,147,双重目的,3188,3305935,3309596
880,不死者,148,沉默者,3277,3309596,3313405
881,不死者,149,一出“戏剧,3218,3313405,3317091
882,不死者,150,核心的诡计,3204,3317091,3320660
883,不死者,151,半神的评价（月底求票）,3276,3320660,3324446
884,不死者,152,注定的相遇（感谢江南南、打赏白银盟）,3204,3324446,3328179
885,不死者,153,两封信（第三更）,3201,3328179,3331911
886,不死者,154,走前准备（求月票）,3218,3331911,3335685
887,不死者,155,熟悉的身影（求月票）,3060,3335685,3339242
888,不死者,156,惊魂一瞥（求保底月票）,4388,3339242,3344181
889,不死者,157,提醒众人（求保底月票）,3329,3344181,3347972
890,不死者,158,不用管祂（求月票）,3205,3347972,3351521
891,不死者,159,奇怪的小教堂（求月票）,3148,3351521,3355003
892,不死者,160,各自的“理解”（求月票）,3122,3355003,3358555
893,不死者,161,头发般的植物（求月票）,3076,3358555,3362001
894,不死者,162,相逢,3035,3362001,3365519
895,不死者,163,终于放心,4765,3365519,3370862
896,不死者,164,戴莉的试探,3021,3370862,3374441
897,不死者,165,首席的暗示,3063,3374441,3377984
898,不死者,166,回报,3233,3377984,3381646
899,不死者,167,狂暴海的灵界,3048,3381646,3385103
900,不死者,168,“自荐”（周一求推荐票月票）,3044,3385103,3388588
901,不死者,169,变异的纸人（周一求月票推荐票）,3064,3388588,3392052
902,不死者,170,阴影,3052,3392052,3395520
903,不死者,171,学者型主教,3077,3395520,3399215
904,不死者,172,分析,3054,3399215,3402572
905,不死者,173,思维盲区,3044,3402572,3406113
906,不死者,174,伦纳德的提醒,3071,3406113,3409665
907,不死者,175,玄学的力量,3105,3409665,3413200
908,不死者,176,不留问题,3072,3413200,3416733
909,不死者,177,侍奉好运,3115,3416733,3420303
910,不死者,178,“怪物”途径,3108,3420303,3423802
911,不死者,179,奇异的画面,3123,3423802,3427411
912,不死者,180,“工匠”的来历（周一求月票推荐票）,3110,3427411,3431060
913,不死者,181,克莱恩的准备工作,2575,3431060,3434052
914,不死者,182,陵寝深处的呼喊,2620,3434052,3437112
915,不死者,183,另一个“我”,2775,3437112,3440248
916,不死者,184,无法阻止的靠近,3076,3440248,3443806
917,不死者,185,三个选择,3139,3443806,3447472
918,不死者,186,猜测与想法,3100,3447472,3450860
919,不死者,187,“完美”的推理,3472,3450860,3454880
920,不死者,188,卡尔德隆的来历,3067,3454880,3458459
921,不死者,189,礼貌第一,3137,3458459,3462063
922,不死者,190,菇与鱼,3186,3462063,3465720
923,不死者,191,后遗症,3107,3465720,3469359
924,不死者,192,冒险行动第一要素（周一求推荐票月票）,3188,3469359,3472944
925,不死者,193,挑“衣服”（周一求月票推荐票）,3180,3472944,3476524
926,不死者,194,往下的城市,3064,3476524,3480008
927,不死者,195,“暴君”之威,3225,3480008,3483696
928,不死者,196,误导（感谢白银盟江南南、）,3357,3483696,3487583
929,不死者,197,真实魂体（感谢白银盟灰白夜空）,3244,3487583,3491309
930,不死者,198,曾经的组织,3108,3491309,3494891
931,不死者,199,获取情报的新方法,3127,3494891,3498447
932,不死者,200,脸皮较薄,3191,3498447,3501976
933,不死者,201,恶灵的共同点,3076,3501976,3505520
934,不死者,202,一加一大于二,3181,3505520,3509115
935,不死者,203,“会合”（六月月票第一加更）,3117,3509115,3512828
936,不死者,204,不想错过,3209,3512828,3516599
937,不死者,205,数天后（求推荐票月票）,3059,3516599,3520125
938,不死者,206,落笔（求推荐票月票）,3081,3520125,3523682
939,不死者,207,鱼饵（月底求月票）,3159,3523682,3527430
940,不死者,208,一个故事（月末求月票）,3891,3527430,3531836
941,不死者,209,符合逻辑的发展（最后一天求月票）,3223,3531836,3535615
942,不死者,210,神之诅咒（最后半天求月票）,3279,3535615,3539387
943,不死者,211,第三幕（提前更新求八月保底月票）,3453,3539387,3543289
944,不死者,212,第四幕（求月票）,3047,3543289,3546795
945,不死者,213,故事的尾声,3655,3546795,3551122
946,不死者,214,一个恩赐，或者，一个诅咒,5453,3551122,3557301
947,红祭司,1,出诊（感谢忠仆旺财打赏白银盟）,3136,3557301,3560947
948,红祭司,2,存在的意义,3198,3560947,3564525
949,红祭司,3,调查方向,3164,3564525,3568080
950,红祭司,4,守秘,3244,3568080,3571917
951,红祭司,5,抽牌,3015,3571917,3575429
952,红祭司,6,世界真小,2656,3575429,3578644
953,红祭司,7,预言,3044,3578644,3582197
954,红祭司,8,奇怪的古堡,3073,3582197,3585878
955,红祭司,9,古老怨灵,3271,3585878,3589768
956,红祭司,10,门后的东西,3284,3589768,3593750
957,红祭司,11,认识一下（周一求推荐票月票）,3614,3593750,3598084
958,红祭司,12,贴标签（周一求月票推荐票）,3228,3598084,3601779
959,红祭司,13,新人和新人也是不一样的,3158,3601779,3605408
960,红祭司,14,“愚者”的叹息,3066,3605408,3608881
961,红祭司,15,告知式提醒,3173,3608881,3612465
962,红祭司,16,被知道,3228,3612465,3616066
963,红祭司,17,情报的问题,3174,3616066,3619675
964,红祭司,18,梅迪奇的死因,3025,3619675,3623244
965,红祭司,19,短暂的危机,3218,3623244,3627017
966,红祭司,20,列车,3113,3627017,3630622
967,红祭司,21,“神谕”,2768,3630622,3633783
968,红祭司,22,“降临”的圣者,3052,3633783,3637339
969,红祭司,23,公爵（周一求推荐票月票）,3208,3637339,3641134
970,红祭司,24,募捐的天赋（周一求推荐票月票）,3116,3641134,3644780
971,红祭司,25,克制,3062,3644780,3648359
972,红祭司,26,纳斯特的回忆,3033,3648359,3651985
973,红祭司,27,新的“天使”,3070,3651985,3655540
974,红祭司,28,心灵世界,3112,3655540,3659053
975,红祭司,29,熟悉的味道,3167,3659053,3662644
976,红祭司,30,狂信徒,3316,3662644,3666357
977,红祭司,31,初次布道,3069,3666357,3669969
978,红祭司,32,礼物,3580,3669969,3674102
979,红祭司,33,生活的乐趣,3125,3674102,3677735
980,红祭司,34,寄生对象的选择,3031,3677735,3681336
981,红祭司,35,海柔尔的决定（周一求推荐票月票）,3170,3681336,3685019
982,红祭司,36,“诡法师”VS“寄生者”（周一求月票推荐票）,3113,3685019,3688525
983,红祭司,37,以你之名,3170,3688525,3692214
984,红祭司,38,积极应对,3072,3692214,3695625
985,红祭司,39,“隐秘”的眷者,3356,3695625,3699359
986,红祭司,40,寄生的“感染性”,3178,3699359,3703065
987,红祭司,41,“清仓”,3362,3703065,3706814
988,红祭司,42,共同行动,3299,3706814,3710596
989,红祭司,43,“导师”阿尔杰（月底求月票）,3253,3710596,3714318
990,红祭司,44,内心的恐惧（月底求月票）,3298,3714318,3718011
991,红祭司,45,没有“回应”的仪式（最后一天求月票）,3085,3718011,3721665
992,红祭司,46,阿罗德斯的恭贺（求保底月票）,3940,3721665,3726151
993,红祭司,47,另外一个可能（求保底月票推荐票）,3336,3726151,3729916
994,红祭司,48,前奏（求保底月票）,3254,3729916,3733772
995,红祭司,49,“连体人”（求保底月票）,3090,3733772,3737491
996,红祭司,50,牌局（月初求月票）,3144,3737491,3741152
997,红祭司,51,“赌神”道恩,3337,3741152,3745082
998,红祭司,52,建立联系,3048,3745082,3748601
999,红祭司,53,教唆,3209,3748601,3752321
